патша	патша+N+Sg+Nom;	патша[N]: царь
офицеры	офицер+N+Sg+POSS_3(СЫ)+Nom;	офицер[N]: офицер
секунд-майор	Rus
Адашев	Rus
карамагына	карамагына+N+Sg+Nom;
озата	озат+V+PRES(Й);	озат[V]: проводить, провожать
бара	бар+V+PRES(Й);	бар[V]: идти, пойти
иде	и+V+PST_DEF(ДЫ);
.	Type1
Озакка	озак+Adj+Sg+DIR(ГА);	озак[Adj]: долгий, долго
сузылган	суз+V+PASS(Ыл)+PCP_PS(ГАн);суз+V+PASS(Ыл)+PST_INDF(ГАн);сузыл+V+PCP_PS(ГАн);сузыл+V+PST_INDF(ГАн);	суз[V]: тянуть
тикшерү	тикшер+V+VN_1(у/ү/в)+Nom;	тикшер[V]: проверить, проверять
эше	эш+N+Sg+POSS_3(СЫ)+Nom;	эш[N]: дело
төгәлләнеп	төгәллә+V+REFL(Ын)+ADVV_ACC(Ып);төгәллән+V+ADVV_ACC(Ып);
килгәндә	кил+V+PCP_PS(ГАн)+LOC(ДА);	кил[V]: идти
,	Type2
аның	ул+PN+GEN(нЫң);	ул[PN]: он, она, оно, они, его, их
янына	ян+N+Sg+POSS_3(СЫ)+DIR(ГА);ян+V+REFL(Ын)+PRES(Й);янына+POST;	ян[N]: к, мимо, у, бок | ян[V]: гореть, сгореть, угрожать
иске	иске+Adj;иске+PROP+Sg+Nom;	иске[Adj]: старый
мундирының	мундир+N+Sg+POSS_3(СЫ)+GEN(нЫң);
бер	бер+Num;бер+PN;	бер[Num]: один, первый
җиңе	җиң+N+Sg+POSS_3(СЫ)+Nom;	җиң[N]: рукав
буш	буш+Adj;	буш[Adj]: пустой, пусто
салынып	сал+V+REFL(Ын)+ADVV_ACC(Ып);салын+V+ADVV_ACC(Ып);	сал[V]: класть, положить | салын[V]: строиться
торучы	тор+V+VN_1(у/ү/в)+PCP_PR(чЫ);тор+V+VN_1(у/ү/в)+PROF(чЫ)+Sg+Nom;	тор[V]: вставать, встать, стоять
берәүне	бер+Num+NUM_COLL(АУ)+ACC(нЫ);	бер[Num]: один, первый
кертәләр	кер+V+CAUS(т)+PRES(Й)+3PL(ЛАр);керт+V+PRES(Й)+3PL(ЛАр);	кер[V]: войти, входить | керт[V]: ввести, вводить
.	Type1
Габделмән	габделмән+N+Sg+Nom;
аңар	аңар+N+Sg+Nom;
гадәттәгечә	гадәт+N+Sg+ATTR_LOC(ДАгЫ)+EQU(чА);гадәттәге+Adj+EQU(чА);	гадәт[N]: обычай
коры	коры+Adj;	коры[Adj]: сухой, сухо
гына	гына+PART;
:	Type2
—	Type2
Исемең	исем+N+Sg+POSS_2SG(Ың)+Nom;	исем[N]: звание, имя
?	Type1
Атаң	ата+N+Sg+POSS_2SG(Ың)+Nom;	ата[N]: отец, отчий
?	Type1
Кайсы	кайсы+PN;
як	як+N+Sg+Nom;як+V+IMP_SG();	як[N]: сторона | як[V]: сжечь
?	Type1
—	Type2
дип	ди+V+ADVV_ACC(Ып);	ди[V]: говорить, сказать
эндәшергә	эндәш+V+INF_1(ЫргА);	эндәш[V]: обратиться, обращаться
хәзерләнеп	хәзерлә+V+REFL(Ын)+ADVV_ACC(Ып);хәзерлән+V+ADVV_ACC(Ып);
,	Type2
каурый	каурый+N+Sg+Nom;
каләмне	каләм+N+Sg+ACC(нЫ);	каләм[N]: перо
зәгъфыран	зәгъфыран+N+Sg+Nom;
